,text,cleaned,filtered
796,"795,""b'@flyfitto hi there, the freedom rewards team will need to check a few details and that will be sent to you in the next few days. leigh'""","['795,""b\'@flyfitto', 'hi', 'there,', 'the', 'freedom', 'rewards', 'team', 'will', 'need', 'to', 'check', 'a', 'few', 'details', 'and', 'that', 'will', 'be', 'sent', 'to', 'you', 'in', 'the', 'next', 'few', 'days.', 'leigh\'""']","['795,""b\'@flyfitto', 'hi', 'there,', 'freedom', 'rewards', 'team', 'need', 'check', 'details', 'sent', 'next', 'days.', 'leigh\'""']"
797,"796,""b'@raghuramanmasi i really want to help raghu, but you have reached barclaycard uk here and we have no access to us c\xe2\x80\xa6 https://t.co/8rvbsutgvv'""","['796,""b\'@raghuramanmasi', 'i', 'really', 'want', 'to', 'help', 'raghu,', 'but', 'you', 'have', 'reached', 'barclaycard', 'uk', 'here', 'and', 'we', 'have', 'no', 'access', 'to', 'us', 'c\\xe2\\x80\\xa6', 'https://t.co/8rvbsutgvv\'""']","['796,""b\'@raghuramanmasi', 'really', 'want', 'help', 'raghu,', 'reached', 'barclaycard', 'uk', 'access', 'us', 'c\\xe2\\x80\\xa6', 'https://t.co/8rvbsutgvv\'""']"
798,"797,""b'@trentonspear ok, we\xe2\x80\x99ll need to take a look at this in more detail. can you give our app help desk a call please? y\xe2\x80\xa6 https://t.co/dtvznhlcpk'""","['797,""b\'@trentonspear', 'ok,', 'we\\xe2\\x80\\x99ll', 'need', 'to', 'take', 'a', 'look', 'at', 'this', 'in', 'more', 'detail.', 'can', 'you', 'give', 'our', 'app', 'help', 'desk', 'a', 'call', 'please?', 'y\\xe2\\x80\\xa6', 'https://t.co/dtvznhlcpk\'""']","['797,""b\'@trentonspear', 'ok,', 'we\\xe2\\x80\\x99ll', 'need', 'take', 'look', 'detail.', 'give', 'app', 'help', 'desk', 'call', 'please?', 'y\\xe2\\x80\\xa6', 'https://t.co/dtvznhlcpk\'""']"
799,"798,""b""""@trentonspear hey trenton, thanks for your message, how're you? i'm sorry that this is happening, have you closed t\xe2\x80\xa6 https://t.co/rwf6ajwpfh""""""","['798,""b""""@trentonspear', 'hey', 'trenton,', 'thanks', 'for', 'your', 'message,', ""how're"", 'you?', ""i'm"", 'sorry', 'that', 'this', 'is', 'happening,', 'have', 'you', 'closed', 't\\xe2\\x80\\xa6', 'https://t.co/rwf6ajwpfh""""""']","['798,""b""""@trentonspear', 'hey', 'trenton,', 'thanks', 'message,', ""how're"", 'you?', ""i'm"", 'sorry', 'happening,', 'closed', 't\\xe2\\x80\\xa6', 'https://t.co/rwf6ajwpfh""""""']"
800,"799,""b""""@barbs_paul i'm sorry you've had some issues speaking with us today! can you pop to dm with a little more informati\xe2\x80\xa6 https://t.co/fcx3phsclz""""""","['799,""b""""@barbs_paul', ""i'm"", 'sorry', ""you've"", 'had', 'some', 'issues', 'speaking', 'with', 'us', 'today!', 'can', 'you', 'pop', 'to', 'dm', 'with', 'a', 'little', 'more', 'informati\\xe2\\x80\\xa6', 'https://t.co/fcx3phsclz""""""']","['799,""b""""@barbs_paul', ""i'm"", 'sorry', 'issues', 'speaking', 'us', 'today!', 'pop', 'dm', 'little', 'informati\\xe2\\x80\\xa6', 'https://t.co/fcx3phsclz""""""']"
801,"800,""b""""@b3nfox hey ben, would expect that your card should be with you by now. i'd recommend leaving it until tomorrow and\xe2\x80\xa6 https://t.co/0m1arypblt""""""","['800,""b""""@b3nfox', 'hey', 'ben,', 'would', 'expect', 'that', 'your', 'card', 'should', 'be', 'with', 'you', 'by', 'now.', ""i'd"", 'recommend', 'leaving', 'it', 'until', 'tomorrow', 'and\\xe2\\x80\\xa6', 'https://t.co/0m1arypblt""""""']","['800,""b""""@b3nfox', 'hey', 'ben,', 'would', 'expect', 'card', 'now.', ""i'd"", 'recommend', 'leaving', 'tomorrow', 'and\\xe2\\x80\\xa6', 'https://t.co/0m1arypblt""""""']"
802,"801,""b""""@thewoahna wish i could help ken, but you'll need to contact our us team @askbarclaysus monday to friday 9am-5pm est. thanks, dean.""""""","['801,""b""""@thewoahna', 'wish', 'i', 'could', 'help', 'ken,', 'but', ""you'll"", 'need', 'to', 'contact', 'our', 'us', 'team', '@askbarclaysus', 'monday', 'to', 'friday', '9am-5pm', 'est.', 'thanks,', 'dean.""""""']","['801,""b""""@thewoahna', 'wish', 'could', 'help', 'ken,', 'need', 'contact', 'us', 'team', '@askbarclaysus', 'monday', 'friday', '9am-5pm', 'est.', 'thanks,', 'dean.""""""']"
803,"802,""b""""@apmvectis i am sorry you're not happy with this andrew, if you wish to cancel your account then please dm me and i\xe2\x80\xa6 https://t.co/vaod4j7dzf""""""","['802,""b""""@apmvectis', 'i', 'am', 'sorry', ""you're"", 'not', 'happy', 'with', 'this', 'andrew,', 'if', 'you', 'wish', 'to', 'cancel', 'your', 'account', 'then', 'please', 'dm', 'me', 'and', 'i\\xe2\\x80\\xa6', 'https://t.co/vaod4j7dzf""""""']","['802,""b""""@apmvectis', 'sorry', 'happy', 'andrew,', 'wish', 'cancel', 'account', 'please', 'dm', 'i\\xe2\\x80\\xa6', 'https://t.co/vaod4j7dzf""""""']"
804,"803,""b'@raghuramanmasi sorry to hear this, are you a us customer raghu? thanks, dean.'""","['803,""b\'@raghuramanmasi', 'sorry', 'to', 'hear', 'this,', 'are', 'you', 'a', 'us', 'customer', 'raghu?', 'thanks,', 'dean.\'""']","['803,""b\'@raghuramanmasi', 'sorry', 'hear', 'this,', 'us', 'customer', 'raghu?', 'thanks,', 'dean.\'""']"
805,"804,""b'@cookieskrispies i am very sorry about that paul, i will respond to your dm about this. thanks, dean.'""","['804,""b\'@cookieskrispies', 'i', 'am', 'very', 'sorry', 'about', 'that', 'paul,', 'i', 'will', 'respond', 'to', 'your', 'dm', 'about', 'this.', 'thanks,', 'dean.\'""']","['804,""b\'@cookieskrispies', 'sorry', 'paul,', 'respond', 'dm', 'this.', 'thanks,', 'dean.\'""']"
806,"805,""b'@polleepops no problem, any problems let us know. thanks, dean.'""","['805,""b\'@polleepops', 'no', 'problem,', 'any', 'problems', 'let', 'us', 'know.', 'thanks,', 'dean.\'""']","['805,""b\'@polleepops', 'problem,', 'problems', 'let', 'us', 'know.', 'thanks,', 'dean.\'""']"
807,"806,""b""""@polleepops ah i'm sorry about that pollee! let's try and find the right steps here for you. what issue are you hav\xe2\x80\xa6 https://t.co/gxh5epustx""""""","['806,""b""""@polleepops', 'ah', ""i'm"", 'sorry', 'about', 'that', 'pollee!', ""let's"", 'try', 'and', 'find', 'the', 'right', 'steps', 'here', 'for', 'you.', 'what', 'issue', 'are', 'you', 'hav\\xe2\\x80\\xa6', 'https://t.co/gxh5epustx""""""']","['806,""b""""@polleepops', 'ah', ""i'm"", 'sorry', 'pollee!', ""let's"", 'try', 'find', 'right', 'steps', 'you.', 'issue', 'hav\\xe2\\x80\\xa6', 'https://t.co/gxh5epustx""""""']"
808,"807,""b""""@nathking that's odd nathan, we'd not ask for the code is it your bank asking for this? when did you set your direct debit up? thanks, dean.""""""","['807,""b""""@nathking', ""that's"", 'odd', 'nathan,', ""we'd"", 'not', 'ask', 'for', 'the', 'code', 'is', 'it', 'your', 'bank', 'asking', 'for', 'this?', 'when', 'did', 'you', 'set', 'your', 'direct', 'debit', 'up?', 'thanks,', 'dean.""""""']","['807,""b""""@nathking', ""that's"", 'odd', 'nathan,', ""we'd"", 'ask', 'code', 'bank', 'asking', 'this?', 'set', 'direct', 'debit', 'up?', 'thanks,', 'dean.""""""']"
809,"808,""b'@nathking are you trying to make a payment or verify the app? thanks, dean.'""","['808,""b\'@nathking', 'are', 'you', 'trying', 'to', 'make', 'a', 'payment', 'or', 'verify', 'the', 'app?', 'thanks,', 'dean.\'""']","['808,""b\'@nathking', 'trying', 'make', 'payment', 'verify', 'app?', 'thanks,', 'dean.\'""']"
810,"809,""b""""@nathking sorry to hear this nathan, what code is this you're referring too? thanks, dean.""""""","['809,""b""""@nathking', 'sorry', 'to', 'hear', 'this', 'nathan,', 'what', 'code', 'is', 'this', ""you're"", 'referring', 'too?', 'thanks,', 'dean.""""""']","['809,""b""""@nathking', 'sorry', 'hear', 'nathan,', 'code', 'referring', 'too?', 'thanks,', 'dean.""""""']"
811,"810,b'@kennyc_83 completely my pleasure kenny :) paul'","[""810,b'@kennyc_83"", 'completely', 'my', 'pleasure', 'kenny', ':)', ""paul'""]","[""810,b'@kennyc_83"", 'completely', 'pleasure', 'kenny', ':)', ""paul'""]"
812,"811,b'@kennyc_83 @tfl absolutely kenny! you get 2 points for every pound spent on tfl :) paul'","[""811,b'@kennyc_83"", '@tfl', 'absolutely', 'kenny!', 'you', 'get', '2', 'points', 'for', 'every', 'pound', 'spent', 'on', 'tfl', ':)', ""paul'""]","[""811,b'@kennyc_83"", '@tfl', 'absolutely', 'kenny!', 'get', '2', 'points', 'every', 'pound', 'spent', 'tfl', ':)', ""paul'""]"
813,"812,""b'@wdids hi there, i am really sorry to hear you have been on hold so long. please bear with us and we will answer. t\xe2\x80\xa6 https://t.co/bm8llqpcag'""","['812,""b\'@wdids', 'hi', 'there,', 'i', 'am', 'really', 'sorry', 'to', 'hear', 'you', 'have', 'been', 'on', 'hold', 'so', 'long.', 'please', 'bear', 'with', 'us', 'and', 'we', 'will', 'answer.', 't\\xe2\\x80\\xa6', 'https://t.co/bm8llqpcag\'""']","['812,""b\'@wdids', 'hi', 'there,', 'really', 'sorry', 'hear', 'hold', 'long.', 'please', 'bear', 'us', 'answer.', 't\\xe2\\x80\\xa6', 'https://t.co/bm8llqpcag\'""']"
814,"813,b'@matt_parkerr hi matt. a card can take up to 5 working days to arrive once accepted. there\xe2\x80\x99s no way to track that i\xe2\x80\xa6 https://t.co/lsiinbbe2j'","[""813,b'@matt_parkerr"", 'hi', 'matt.', 'a', 'card', 'can', 'take', 'up', 'to', '5', 'working', 'days', 'to', 'arrive', 'once', 'accepted.', 'there\\xe2\\x80\\x99s', 'no', 'way', 'to', 'track', 'that', 'i\\xe2\\x80\\xa6', ""https://t.co/lsiinbbe2j'""]","[""813,b'@matt_parkerr"", 'hi', 'matt.', 'card', 'take', '5', 'working', 'days', 'arrive', 'accepted.', 'there\\xe2\\x80\\x99s', 'way', 'track', 'i\\xe2\\x80\\xa6', ""https://t.co/lsiinbbe2j'""]"
815,"814,b'@wooze6 ah that will be it daniel! every new registration for mobile payments we will send out the terms and conditions :) paul'","[""814,b'@wooze6"", 'ah', 'that', 'will', 'be', 'it', 'daniel!', 'every', 'new', 'registration', 'for', 'mobile', 'payments', 'we', 'will', 'send', 'out', 'the', 'terms', 'and', 'conditions', ':)', ""paul'""]","[""814,b'@wooze6"", 'ah', 'daniel!', 'every', 'new', 'registration', 'mobile', 'payments', 'send', 'terms', 'conditions', ':)', ""paul'""]"
816,"815,""b'@wooze6 ah no daniel! looks like a bit of an overkill with those documents, sorry about that! have you recently reg\xe2\x80\xa6 https://t.co/pyjgdmf480'""","['815,""b\'@wooze6', 'ah', 'no', 'daniel!', 'looks', 'like', 'a', 'bit', 'of', 'an', 'overkill', 'with', 'those', 'documents,', 'sorry', 'about', 'that!', 'have', 'you', 'recently', 'reg\\xe2\\x80\\xa6', 'https://t.co/pyjgdmf480\'""']","['815,""b\'@wooze6', 'ah', 'daniel!', 'looks', 'like', 'bit', 'overkill', 'documents,', 'sorry', 'that!', 'recently', 'reg\\xe2\\x80\\xa6', 'https://t.co/pyjgdmf480\'""']"
817,"816,""b""""@yotboyo we aren't a live chat service, but we aim to respond as quickly as possible. i have picked up your dm now\xe2\x80\xa6 https://t.co/ggpbrz3rab""""""","['816,""b""""@yotboyo', 'we', ""aren't"", 'a', 'live', 'chat', 'service,', 'but', 'we', 'aim', 'to', 'respond', 'as', 'quickly', 'as', 'possible.', 'i', 'have', 'picked', 'up', 'your', 'dm', 'now\\xe2\\x80\\xa6', 'https://t.co/ggpbrz3rab""""""']","['816,""b""""@yotboyo', 'live', 'chat', 'service,', 'aim', 'respond', 'quickly', 'possible.', 'picked', 'dm', 'now\\xe2\\x80\\xa6', 'https://t.co/ggpbrz3rab""""""']"
818,"817,""b""""@jc1512 i'm not aware of any ongoing issues with this feature! just to double check, do you also have the barclays\xe2\x80\xa6 https://t.co/0flfcl9rzo""""""","['817,""b""""@jc1512', ""i'm"", 'not', 'aware', 'of', 'any', 'ongoing', 'issues', 'with', 'this', 'feature!', 'just', 'to', 'double', 'check,', 'do', 'you', 'also', 'have', 'the', 'barclays\\xe2\\x80\\xa6', 'https://t.co/0flfcl9rzo""""""']","['817,""b""""@jc1512', ""i'm"", 'aware', 'ongoing', 'issues', 'feature!', 'double', 'check,', 'also', 'barclays\\xe2\\x80\\xa6', 'https://t.co/0flfcl9rzo""""""']"
819,"818,""b""""@bancejon hi there, sorry you're having some trouble speaking with our telephone team! i'd like to understand a lit\xe2\x80\xa6 https://t.co/esqcgwlthh""""""","['818,""b""""@bancejon', 'hi', 'there,', 'sorry', ""you're"", 'having', 'some', 'trouble', 'speaking', 'with', 'our', 'telephone', 'team!', ""i'd"", 'like', 'to', 'understand', 'a', 'lit\\xe2\\x80\\xa6', 'https://t.co/esqcgwlthh""""""']","['818,""b""""@bancejon', 'hi', 'there,', 'sorry', 'trouble', 'speaking', 'telephone', 'team!', ""i'd"", 'like', 'understand', 'lit\\xe2\\x80\\xa6', 'https://t.co/esqcgwlthh""""""']"
820,"819,""b""""@jc1512 ahh okay, you'll be best speaking to our digital team on 0800 161 5300 to look into that. thanks, dean.""""""","['819,""b""""@jc1512', 'ahh', 'okay,', ""you'll"", 'be', 'best', 'speaking', 'to', 'our', 'digital', 'team', 'on', '0800', '161', '5300', 'to', 'look', 'into', 'that.', 'thanks,', 'dean.""""""']","['819,""b""""@jc1512', 'ahh', 'okay,', 'best', 'speaking', 'digital', 'team', '0800', '161', '5300', 'look', 'that.', 'thanks,', 'dean.""""""']"
821,"820,""b""""@jc1512 hi jc, i am sorry you're having trouble with the app. what happens when you try to log in? thanks, dean.""""""","['820,""b""""@jc1512', 'hi', 'jc,', 'i', 'am', 'sorry', ""you're"", 'having', 'trouble', 'with', 'the', 'app.', 'what', 'happens', 'when', 'you', 'try', 'to', 'log', 'in?', 'thanks,', 'dean.""""""']","['820,""b""""@jc1512', 'hi', 'jc,', 'sorry', 'trouble', 'app.', 'happens', 'try', 'log', 'in?', 'thanks,', 'dean.""""""']"
822,"821,""b""""@dav51m80 sure, dm me if you'd like david? thanks, dean. https://t.co/mpqb4etryv""""""","['821,""b""""@dav51m80', 'sure,', 'dm', 'me', 'if', ""you'd"", 'like', 'david?', 'thanks,', 'dean.', 'https://t.co/mpqb4etryv""""""']","['821,""b""""@dav51m80', 'sure,', 'dm', 'like', 'david?', 'thanks,', 'dean.', 'https://t.co/mpqb4etryv""""""']"
823,"822,""b""""@jjlharrison thanks for letting me know, i'll pass that feed back on to the right team. dean.""""""","['822,""b""""@jjlharrison', 'thanks', 'for', 'letting', 'me', 'know,', ""i'll"", 'pass', 'that', 'feed', 'back', 'on', 'to', 'the', 'right', 'team.', 'dean.""""""']","['822,""b""""@jjlharrison', 'thanks', 'letting', 'know,', ""i'll"", 'pass', 'feed', 'back', 'right', 'team.', 'dean.""""""']"
824,"823,""b""""@jjlharrison we love trees, but we're legally obligated to send these terms and conditions out upon registering for apple pay. thanks, dean.""""""","['823,""b""""@jjlharrison', 'we', 'love', 'trees,', 'but', ""we're"", 'legally', 'obligated', 'to', 'send', 'these', 'terms', 'and', 'conditions', 'out', 'upon', 'registering', 'for', 'apple', 'pay.', 'thanks,', 'dean.""""""']","['823,""b""""@jjlharrison', 'love', 'trees,', ""we're"", 'legally', 'obligated', 'send', 'terms', 'conditions', 'upon', 'registering', 'apple', 'pay.', 'thanks,', 'dean.""""""']"
825,"824,""b'@ajohnmain no worries, have a good day! thanks, dean.'""","['824,""b\'@ajohnmain', 'no', 'worries,', 'have', 'a', 'good', 'day!', 'thanks,', 'dean.\'""']","['824,""b\'@ajohnmain', 'worries,', 'good', 'day!', 'thanks,', 'dean.\'""']"
826,"825,""b""""@ajohnmain hey johnny, it can very but it's usually anywhere between 1 - 3 working days. thanks, dean.""""""","['825,""b""""@ajohnmain', 'hey', 'johnny,', 'it', 'can', 'very', 'but', ""it's"", 'usually', 'anywhere', 'between', '1', '-', '3', 'working', 'days.', 'thanks,', 'dean.""""""']","['825,""b""""@ajohnmain', 'hey', 'johnny,', 'usually', 'anywhere', '1', '-', '3', 'working', 'days.', 'thanks,', 'dean.""""""']"
827,"826,""b""""@lofionic hi chris, that's odd. i'd recommend you speak to our digital team to check this out, you can call them on\xe2\x80\xa6 https://t.co/2xozyx6czk""""""","['826,""b""""@lofionic', 'hi', 'chris,', ""that's"", 'odd.', ""i'd"", 'recommend', 'you', 'speak', 'to', 'our', 'digital', 'team', 'to', 'check', 'this', 'out,', 'you', 'can', 'call', 'them', 'on\\xe2\\x80\\xa6', 'https://t.co/2xozyx6czk""""""']","['826,""b""""@lofionic', 'hi', 'chris,', ""that's"", 'odd.', ""i'd"", 'recommend', 'speak', 'digital', 'team', 'check', 'out,', 'call', 'on\\xe2\\x80\\xa6', 'https://t.co/2xozyx6czk""""""']"
828,"827,""b""""@eisbr1 hi there, you'll need to reach out to our colleagues in germany about this. https://t.co/5csmajillq thanks, dean.""""""","['827,""b""""@eisbr1', 'hi', 'there,', ""you'll"", 'need', 'to', 'reach', 'out', 'to', 'our', 'colleagues', 'in', 'germany', 'about', 'this.', 'https://t.co/5csmajillq', 'thanks,', 'dean.""""""']","['827,""b""""@eisbr1', 'hi', 'there,', 'need', 'reach', 'colleagues', 'germany', 'this.', 'https://t.co/5csmajillq', 'thanks,', 'dean.""""""']"
829,"828,""b""""@movedownpls ahh okay, you'd need to speak to @bcardbusiness 9am to 5pm monday to friday.thanks, dean.""""""","['828,""b""""@movedownpls', 'ahh', 'okay,', ""you'd"", 'need', 'to', 'speak', 'to', '@bcardbusiness', '9am', 'to', '5pm', 'monday', 'to', 'friday.thanks,', 'dean.""""""']","['828,""b""""@movedownpls', 'ahh', 'okay,', 'need', 'speak', '@bcardbusiness', '9am', '5pm', 'monday', 'friday.thanks,', 'dean.""""""']"
830,"829,b'@_jonjonliang we don\xe2\x80\x99t charge for the statements. have you sent an e-mail? andy.'","[""829,b'@_jonjonliang"", 'we', 'don\\xe2\\x80\\x99t', 'charge', 'for', 'the', 'statements.', 'have', 'you', 'sent', 'an', 'e-mail?', ""andy.'""]","[""829,b'@_jonjonliang"", 'don\\xe2\\x80\\x99t', 'charge', 'statements.', 'sent', 'e-mail?', ""andy.'""]"
831,"830,""b""""@sjtaylorrh42ld hi simon. i'm sorry for the delay in answering your call this evening. did you manage to speak to t\xe2\x80\xa6 https://t.co/og3gy69jmb""""""","['830,""b""""@sjtaylorrh42ld', 'hi', 'simon.', ""i'm"", 'sorry', 'for', 'the', 'delay', 'in', 'answering', 'your', 'call', 'this', 'evening.', 'did', 'you', 'manage', 'to', 'speak', 'to', 't\\xe2\\x80\\xa6', 'https://t.co/og3gy69jmb""""""']","['830,""b""""@sjtaylorrh42ld', 'hi', 'simon.', ""i'm"", 'sorry', 'delay', 'answering', 'call', 'evening.', 'manage', 'speak', 't\\xe2\\x80\\xa6', 'https://t.co/og3gy69jmb""""""']"
832,"831,""b""""@_jonjonliang that's okay jon, you can also print your statements online. after you've logged into your account, ju\xe2\x80\xa6 https://t.co/rojmxcx4e6""""""","['831,""b""""@_jonjonliang', ""that's"", 'okay', 'jon,', 'you', 'can', 'also', 'print', 'your', 'statements', 'online.', 'after', ""you've"", 'logged', 'into', 'your', 'account,', 'ju\\xe2\\x80\\xa6', 'https://t.co/rojmxcx4e6""""""']","['831,""b""""@_jonjonliang', ""that's"", 'okay', 'jon,', 'also', 'print', 'statements', 'online.', 'logged', 'account,', 'ju\\xe2\\x80\\xa6', 'https://t.co/rojmxcx4e6""""""']"
833,"832,""b""""@sootweet hi there, i've replied to the dm you've sent to us about this. steven b""""""","['832,""b""""@sootweet', 'hi', 'there,', ""i've"", 'replied', 'to', 'the', 'dm', ""you've"", 'sent', 'to', 'us', 'about', 'this.', 'steven', 'b""""""']","['832,""b""""@sootweet', 'hi', 'there,', ""i've"", 'replied', 'dm', 'sent', 'us', 'this.', 'steven', 'b""""""']"
834,"833,""b'@tashie82x so that we can take a closer look at this for you, can you please send us a dm, where we can take a litt\xe2\x80\xa6 https://t.co/0rhpfxymvq'""","['833,""b\'@tashie82x', 'so', 'that', 'we', 'can', 'take', 'a', 'closer', 'look', 'at', 'this', 'for', 'you,', 'can', 'you', 'please', 'send', 'us', 'a', 'dm,', 'where', 'we', 'can', 'take', 'a', 'litt\\xe2\\x80\\xa6', 'https://t.co/0rhpfxymvq\'""']","['833,""b\'@tashie82x', 'take', 'closer', 'look', 'you,', 'please', 'send', 'us', 'dm,', 'take', 'litt\\xe2\\x80\\xa6', 'https://t.co/0rhpfxymvq\'""']"
835,"834,""b""""@lesley1l1ly hi emma. sorry this hasn't been an easy process for you. we use pinsentry to ensure the highest level\xe2\x80\xa6 https://t.co/2jcpzjpiof""""""","['834,""b""""@lesley1l1ly', 'hi', 'emma.', 'sorry', 'this', ""hasn't"", 'been', 'an', 'easy', 'process', 'for', 'you.', 'we', 'use', 'pinsentry', 'to', 'ensure', 'the', 'highest', 'level\\xe2\\x80\\xa6', 'https://t.co/2jcpzjpiof""""""']","['834,""b""""@lesley1l1ly', 'hi', 'emma.', 'sorry', 'easy', 'process', 'you.', 'use', 'pinsentry', 'ensure', 'highest', 'level\\xe2\\x80\\xa6', 'https://t.co/2jcpzjpiof""""""']"
836,"835,""b'@_jonjonliang hi jon, have you spoken to us over the phone to discuss this? we no longer charge for duplicate copies of statements. nic'""","['835,""b\'@_jonjonliang', 'hi', 'jon,', 'have', 'you', 'spoken', 'to', 'us', 'over', 'the', 'phone', 'to', 'discuss', 'this?', 'we', 'no', 'longer', 'charge', 'for', 'duplicate', 'copies', 'of', 'statements.', 'nic\'""']","['835,""b\'@_jonjonliang', 'hi', 'jon,', 'spoken', 'us', 'phone', 'discuss', 'this?', 'longer', 'charge', 'duplicate', 'copies', 'statements.', 'nic\'""']"
837,"836,""b""""@roymilton ahh i'm sorry, roy that's my fault, i didn't include the link in my last reply. if you can send me a dm\xe2\x80\xa6 https://t.co/jy4krpupx5""""""","['836,""b""""@roymilton', 'ahh', ""i'm"", 'sorry,', 'roy', ""that's"", 'my', 'fault,', 'i', ""didn't"", 'include', 'the', 'link', 'in', 'my', 'last', 'reply.', 'if', 'you', 'can', 'send', 'me', 'a', 'dm\\xe2\\x80\\xa6', 'https://t.co/jy4krpupx5""""""']","['836,""b""""@roymilton', 'ahh', ""i'm"", 'sorry,', 'roy', ""that's"", 'fault,', 'include', 'link', 'last', 'reply.', 'send', 'dm\\xe2\\x80\\xa6', 'https://t.co/jy4krpupx5""""""']"
838,"837,""b'@_b_brown_ hi ben, if you drop me a dm i can let you know how to get this stopped. thanks, dean. https://t.co/mpqb4etryv'""","['837,""b\'@_b_brown_', 'hi', 'ben,', 'if', 'you', 'drop', 'me', 'a', 'dm', 'i', 'can', 'let', 'you', 'know', 'how', 'to', 'get', 'this', 'stopped.', 'thanks,', 'dean.', 'https://t.co/mpqb4etryv\'""']","['837,""b\'@_b_brown_', 'hi', 'ben,', 'drop', 'dm', 'let', 'know', 'get', 'stopped.', 'thanks,', 'dean.', 'https://t.co/mpqb4etryv\'""']"
839,"838,""b'@wanderlustdl apologies david, we do only send these when you have registered for applepay. thanks, dean.'""","['838,""b\'@wanderlustdl', 'apologies', 'david,', 'we', 'do', 'only', 'send', 'these', 'when', 'you', 'have', 'registered', 'for', 'applepay.', 'thanks,', 'dean.\'""']","['838,""b\'@wanderlustdl', 'apologies', 'david,', 'send', 'registered', 'applepay.', 'thanks,', 'dean.\'""']"
840,"839,""b'@channy_boppers hi channy, i have replied to your dm. christie'""","['839,""b\'@channy_boppers', 'hi', 'channy,', 'i', 'have', 'replied', 'to', 'your', 'dm.', 'christie\'""']","['839,""b\'@channy_boppers', 'hi', 'channy,', 'replied', 'dm.', 'christie\'""']"
841,"840,""b""""@chrisgeorge67 hey christopher, thanks for this. we'll make sure this is passed onto dean and his manager! thanks, dan.""""""","['840,""b""""@chrisgeorge67', 'hey', 'christopher,', 'thanks', 'for', 'this.', ""we'll"", 'make', 'sure', 'this', 'is', 'passed', 'onto', 'dean', 'and', 'his', 'manager!', 'thanks,', 'dan.""""""']","['840,""b""""@chrisgeorge67', 'hey', 'christopher,', 'thanks', 'this.', ""we'll"", 'make', 'sure', 'passed', 'onto', 'dean', 'manager!', 'thanks,', 'dan.""""""']"
842,"841,""b""""@abzster hey abbey, if you meet your minimum payment 5 or more working days before it's due then it won't be taken\xe2\x80\xa6 https://t.co/7ziff4fdcu""""""","['841,""b""""@abzster', 'hey', 'abbey,', 'if', 'you', 'meet', 'your', 'minimum', 'payment', '5', 'or', 'more', 'working', 'days', 'before', ""it's"", 'due', 'then', 'it', ""won't"", 'be', 'taken\\xe2\\x80\\xa6', 'https://t.co/7ziff4fdcu""""""']","['841,""b""""@abzster', 'hey', 'abbey,', 'meet', 'minimum', 'payment', '5', 'working', 'days', 'due', 'taken\\xe2\\x80\\xa6', 'https://t.co/7ziff4fdcu""""""']"
843,"842,""b""""@bobcoop62763219 hi bob, if you've been overcharged or not authorised a transactions our disputes team can log a ca\xe2\x80\xa6 https://t.co/7fygm5udoa""""""","['842,""b""""@bobcoop62763219', 'hi', 'bob,', 'if', ""you've"", 'been', 'overcharged', 'or', 'not', 'authorised', 'a', 'transactions', 'our', 'disputes', 'team', 'can', 'log', 'a', 'ca\\xe2\\x80\\xa6', 'https://t.co/7fygm5udoa""""""']","['842,""b""""@bobcoop62763219', 'hi', 'bob,', 'overcharged', 'authorised', 'transactions', 'disputes', 'team', 'log', 'ca\\xe2\\x80\\xa6', 'https://t.co/7fygm5udoa""""""']"
844,"843,""b'@baxterrod please accept my apologies rod, have you managed to get the dispute raised? thanks, dean.'""","['843,""b\'@baxterrod', 'please', 'accept', 'my', 'apologies', 'rod,', 'have', 'you', 'managed', 'to', 'get', 'the', 'dispute', 'raised?', 'thanks,', 'dean.\'""']","['843,""b\'@baxterrod', 'please', 'accept', 'apologies', 'rod,', 'managed', 'get', 'dispute', 'raised?', 'thanks,', 'dean.\'""']"
845,"844,""b"""".@creamfields 2020 #presale is now on \xf0\x9f\x99\x8c don't miss your chance to get 10% off every creamfields ticket you buy:\xe2\x80\xa6 https://t.co/4lktwusw7m""""""","['844,""b"""".@creamfields', '2020', '#presale', 'is', 'now', 'on', '\\xf0\\x9f\\x99\\x8c', ""don't"", 'miss', 'your', 'chance', 'to', 'get', '10%', 'off', 'every', 'creamfields', 'ticket', 'you', 'buy:\\xe2\\x80\\xa6', 'https://t.co/4lktwusw7m""""""']","['844,""b"""".@creamfields', '2020', '#presale', '\\xf0\\x9f\\x99\\x8c', 'miss', 'chance', 'get', '10%', 'every', 'creamfields', 'ticket', 'buy:\\xe2\\x80\\xa6', 'https://t.co/4lktwusw7m""""""']"
846,"845,""b""""@rachel1984x hey rachel, drop me a dm and i'll let you know how to get this stopped. thanks, dean. https://t.co/mpqb4etryv""""""","['845,""b""""@rachel1984x', 'hey', 'rachel,', 'drop', 'me', 'a', 'dm', 'and', ""i'll"", 'let', 'you', 'know', 'how', 'to', 'get', 'this', 'stopped.', 'thanks,', 'dean.', 'https://t.co/mpqb4etryv""""""']","['845,""b""""@rachel1984x', 'hey', 'rachel,', 'drop', 'dm', ""i'll"", 'let', 'know', 'get', 'stopped.', 'thanks,', 'dean.', 'https://t.co/mpqb4etryv""""""']"
