,text
877,"b""@tashie82x hi there, natasha. i'm sorry to hear about the wait times, did you manage to speak with the team? kristos"""
878,"b""@naomisandler2 hi naomi, i'm really sorry that this has happened to you. when you last spoke to us, what were you?\xe2\x80\xa6 https://t.co/2jjnzxnvdt"""
879,"b""@torcorspro hey tori, thanks for your tweet, how was your weekend? that's not a problem, if you can give us a quick\xe2\x80\xa6 https://t.co/rc2cojj8ec"""
880,"b""@oaksandnix thanks phil, you'll need to contact @askbarclaysus monday to friday 9am-5pm est. thanks, dean."""
881,"b'@oaksandnix hey phil, are you a us customer? dean.'"
882,"b""@clarkcx hi pete, i am sorry about this. i'll make sure it's all fed back for you. if this is still happening now i\xe2\x80\xa6 https://t.co/4hgppi7q4a"""
883,"b""@bryony_samsom hi bryony, sorry that you're still having problems paying through the app. if you can dm me i can se\xe2\x80\xa6 https://t.co/r2isazm8lu"""
884,"b'@kforhee can you dm me on this channel please? thanks, dean. https://t.co/mpqb4etryv'"
885,"b'@lauzeliz i am sorry about this laura, are they any error codes or messages? is this via the app or website? dm me\xe2\x80\xa6 https://t.co/4vhflmsddx'"
886,"b'@garyskoda1 hi gary, apologies about this. this must be unrelated. have you received any calls or texts from us? -kev'"
887,"b'@sesquip33 ah right, we would need to speak you securely to do this. our app team are available on 0333 202 1035 an\xe2\x80\xa6 https://t.co/uwdkgvkh9r'"
888,"b""@stillfruity hi naomi, this post is a general one in relation to an issue with the app this evening. i've replied t\xe2\x80\xa6 https://t.co/kt18ns4iou"""
889,"b""@stillfruity ah right, i'm really sorry you weren't able to get through to us. can you come through to dm and confi\xe2\x80\xa6 https://t.co/vp0qtet9kw"""
890,b'@moonster8 hahah have a good night! jord'
891,"b""@moonster8 the confusion continues! my name's jord, are you okay stan? \xf0\x9f\x98\x89 jord"""
892,"b""@moonster8 don't worry stephen, i'm confused by everyday that ends in a y... jord"""
893,"b'@ohhey_itssaniax hi sania, we did have some maintenance on the app earlier which will be why this error showed. eve\xe2\x80\xa6 https://t.co/jy3hclxdqv'"
894,b'everything is back up and running. we know it\xe2\x80\x99s a pain when things don\xe2\x80\x99t work as they should do - sorry we couldn\xe2\x80\x99t give you more notice.'
895,"b""@msgracefh hey grace, every little helps right? however, i'd probably keep that for 7 1p sweets. much better \xf0\x9f\x91\x8d jord"""
896,"b""@markhobson thanks for the extra detail mark. we'll pass it on. have a great evening! cheers, brendan"""
897,"b'-if you need to transfer money or make important payments via our app, please do so asap.\n-payments into your accou\xe2\x80\xa6 https://t.co/lt8mtp5nmv'"
898,"b""sorry, we know it's not ideal and we'll get our app up and running as soon as we can. you can still use online serv\xe2\x80\xa6 https://t.co/io8ccukgb0"""
899,"b""the barclaycard app will be unavailable again today from 18:30pm until the early hours of monday morning. it's not\xe2\x80\xa6 https://t.co/sfcujzde5j"""
900,"b""@amerofthedeep you're welcome. i hope you have a lovely evening. leanne"""
901,"b""@dannywilson96 hi danny, i totally get where you're coming from. if you don't want an increase in your limit just l\xe2\x80\xa6 https://t.co/umfahag73z"""
902,"b'@elizabethbuchan hi elizabeth, anything i can help you with? feel free to pop into dm and i can certainly help you.\xe2\x80\xa6 https://t.co/hfjyazo3kd'"
903,"b'@deanthomastunes hi dean, this should be ok. however, if you have any problems doing this then it would be best for\xe2\x80\xa6 https://t.co/kq7za7zaj7'"
904,"b""@amerofthedeep ah i see, to check on your dispute you'll need to get into ouch with the dispute management team. th\xe2\x80\xa6 https://t.co/snhn7igmlu"""
905,"b""@amerofthedeep can i ask what it is you're trying to call about? jo"""
906,"b""@amerofthedeep hey there amer, i'm so sorry you've had to wait today. have you managed to speak with someone yet? i\xe2\x80\xa6 https://t.co/9b24uec6lc"""
907,"b""@hatzfelder sorry we wouldn't deal with eurowings gold card as it's not a uk barclays credit card.  jo"""
908,"b""@sesquip33 hi phil, thanks for your message. let's look to see what we can do with this. how many devices have you\xe2\x80\xa6 https://t.co/tmjue7quwv"""
909,"b""@terrygparrott okay terry, let us take a look and we'll see what is showing up our side. can you dm your full name,\xe2\x80\xa6 https://t.co/x4qldpafze"""
910,b'@terrygparrott apologies terry how much were you trying to withdraw in sterling? - dan'
911,"b'@terrygparrott hi terry. sorry that you were having issues using your card, there can be many reasons for this but\xe2\x80\xa6 https://t.co/rfltvtuhao'"
912,b'@stillfruity what did the team say to you naomi? dean.'
913,"b""@embr8ce_it hi. that's not good. do you get any error codes when trying the app? feel free to pop over to dm if you\xe2\x80\xa6 https://t.co/btkejj7l5l"""
914,"b""@helena1432 hi helena, even with the bank holidays over christmas and new year, i'd still expect you to have receiv\xe2\x80\xa6 https://t.co/suf9kwht5e"""
915,"b'@michelle281119 good spot and thanks for sharing - great advice. have a fab evening, give us a shout if you need an\xe2\x80\xa6 https://t.co/ztglg1tawa'"
916,b'@nottsferrers hi. no issues at present. we have a planned outage from 01:00am to 07:00am. you can still reach our i\xe2\x80\xa6 https://t.co/vo80l4kzki'
917,"b""@hatzfelder i'm not too sure if i'm honest as we deal with uk barclaycard here but i'd definitely recommend calling\xe2\x80\xa6 https://t.co/npksarx82q"""
918,"b'@thomthor hi steven, oh, let\xe2\x80\x99s get this all checked out for you. pop over to dm for me where i can take some more d\xe2\x80\xa6 https://t.co/rzndgzfykb'"
919,"b""@stillfruity hello naomi, oh dear, let's get this sorted for you. were you only wanting to make a partial payment t\xe2\x80\xa6 https://t.co/wxinhxsizr"""
920,"b'@ajburrelluk you mentioned this was the first time you used the card, it can take a few weeks for the amount on you\xe2\x80\xa6 https://t.co/woo4wmxbot'"
921,"b""@ajburrelluk you'd then select 'make a payment' under the balance amount. it should then give you the option to pay\xe2\x80\xa6 https://t.co/cvbr4tml3w"""
922,b'@ajburrelluk so when you make a payment on your credit card it would need to show on the statement balance before y\xe2\x80\xa6 https://t.co/1ycdnqdiyi'
923,"b""@ajburrelluk hey there, do you have both barclays and barclaycard? you'll be able to make a payment once the bill i\xe2\x80\xa6 https://t.co/cbrmauewll"""
924,"b""@electric_coward hi there oliver, sorry you're having some trouble with this feature! i'm not aware of any issues w\xe2\x80\xa6 https://t.co/fmr2xyjvim"""
925,"b""@josh_wylie ah no josh! i'm sorry that you're having this problem! do you see any error code attached to this message? paul"""
926,"b""@covi01 ah i'm so sorry about that jake :( i've just tried the number myself and got straight through to the team i\xe2\x80\xa6 https://t.co/hbitpfhsxa"""
927,"b""@yutyut26 hey! if you select 'contact us' from within your app and then hit 'idrect call' you'll be able to select\xe2\x80\xa6 https://t.co/mobm5j5mde"""
928,"b'@covi01 hi jake. i get that\xe2\x80\x99s not brilliant, especially when you\xe2\x80\x99re at risk of fraud. did you manage to get through and sort it? andy.'"
929,"b'@laydee_chezella hi chez, i am unable to get someone from the fraud team to call and this is not something we can a\xe2\x80\xa6 https://t.co/1iwbzxrj3m'"
930,"b""@zzachbb i'm happy to share your feedback on this zach but at the moment, if you want the mail to stop then you'll\xe2\x80\xa6 https://t.co/msk9ubvz3p"""
931,"b""@zzachbb i completely understand zach and i'm happy to share your feedback but at the moment if you'd like us to st\xe2\x80\xa6 https://t.co/ozvcx2gjfb"""
932,"b""@d2rr3nttaffom if you send us a quick dm with your postcode and phone number then we'll see why you're not getting\xe2\x80\xa6 https://t.co/g48j9azody"""
933,"b'@zzachbb if you can send us a quick dm then i can let you know how we can get this stopped for you zach.  thanks, cass'"
934,"b""@jndker i am sorry jan, you'll need to feed that back to barclaycard germany. thanks, dean."""
935,"b""@jndker i don't jan, i don't think they have twitter yet. thanks, dean."""
936,"b""@jndker hey jan, we're the uk team here so i am unable to provide you with any information unfortunately. thanks, dean."""
937,"b'@prentonpete sorry about that, the team are extremely busy at the moment. i am unable to arrange a call back for yo\xe2\x80\xa6 https://t.co/jy7jz9vfwz'"
938,"b'@prentonpete i am sorry about this pete, have you managed to speak to the team about this? thanks, dean.'"
939,"b""@robbiemilano thanks for this roberta, i'll make sure this is picked up straight away. do you the link to exactly w\xe2\x80\xa6 https://t.co/omgtmu3gli"""
940,"b'@d2rr3nttaffom hey darren, sorry for that. do you have access to your account on the website or app? thanks, dean.'"
941,"b""@markhobson thanks, i'll let them know straight away mark! dean."""
942,"b'@markhobson apologies mark, have you managed to get this sorted? thanks, dean.'"
943,"b'@blocksbetty hey, if you dm me a copy of the letter i can take a look for you. thanks, dean. https://t.co/mpqb4etryv'"
944,"b'@darkstar2030 thank you paul, our app tea need to take a closer look at this issue with you so we can get that sort\xe2\x80\xa6 https://t.co/csplwvvdch'"
945,"b""@katrinatdimhcs hi katrina, that's a little odd that they have not arrived yet, we need to take a closer look at th\xe2\x80\xa6 https://t.co/kv5aumndfo"""
946,"b'@pumpkinspice__ hi ellie, bills are produced over a rolling monthly period but this may not be the 1st to the 1st.\xe2\x80\xa6 https://t.co/mxz93ghkfk'"
947,b'@bobcats9498 hi jason. you\xe2\x80\x99d need to have a chat with our friends at @askbarclaysus monday to friday 9am-5pm est for this one. andy.'
948,"b""@stickmansean hi sean, i noticed your tweet, can i just ask what's happened please? jord"""
949,b'@markhobson hi mark. can you tell me exactly what\xe2\x80\x99s happening? is this when you\xe2\x80\x99re making a payment off your balance? andy.'
950,b'@thekeithbbb ah right ok. glad you\xe2\x80\x99ve managed to get it completed but i appreciate it\xe2\x80\x99s not a great experience you\xe2\x80\x99\xe2\x80\xa6 https://t.co/lms9wzwtjg'
951,b'@jklspr hi there. you\xe2\x80\x99ve contacted barclaycard in the uk. you\xe2\x80\x99d need to speak with our friends over @askbarclaysus\xe2\x80\xa6 https://t.co/utrokl5erq'
952,"b'@thekeithbbb hi keith. i am sorry that the app is crashing. can you tell me at what stage it crashes please? also,\xe2\x80\xa6 https://t.co/mramy4ifrk'"
953,b'@darkstar2030 hi paul. can you tell me what device it is you\xe2\x80\x99re trying to register on? andy.'
954,"b""@abigailrosehill okay abigail, we'll need to look into that further are you able to dm me your postcode and phone n\xe2\x80\xa6 https://t.co/fqiuwstust"""
955,"b'@abigailrosehill hi abigail, i am sorry to hear this. have you already made your payment this month at all? thanks, dean.'"
956,"b'@j_poppet no problem, sure can you dm me your postcode and phone number please? thanks, dean. https://t.co/mpqb4etryv'"
957,"b'@j_poppet apologies, do you have access to the app at all? thanks, dean.'"
958,"b""@munchenbhoy last time i checked i wasn't a robot alan? can i help you with anything? thanks, dean."""
959,"b""@vampyra911 okay, it's 0800 161 5300 and they're open until midnight. thanks, dean."""
960,"b'@cairah_xo no problem, if you can at any point let me know \xf0\x9f\x91\x8d'"
961,"b'@cairah_xo hi cairah, if you drop me a dm i can let you know how to get these stopped. thanks, dean.'"
962,"b""@duffy_mrss apologies susie, i'll feed that back to them. thanks, dean."""
963,"b'@juanleahy no issues juan, what number have you called so i can check it out? thanks, dean.'"
964,"b""@elsilverfox2 hi there, sorry you're receiving these. if you dm me i'll let you know how to get those stopped. than\xe2\x80\xa6 https://t.co/xxzubd6p3h"""
965,"b""@duffy_mrss sure their number is 0800 056 3336 and they're open until 8pm tonight. thanks, dean."""
966,"b""@duffy_mrss i'll update the team for you susie. thanks, dean."""
967,"b'@russmogell apologies russ, hopefully you get everything sorted. thanks, dean.'"
968,"b'@russmogell hey russ, nightmare what team are you trying to get through too? - dan'"
969,"b'@ryzodavz hi ryan, you can call our mortgages team on 0800 022 4022 to help with this. lines are open 8:30am to 5:3\xe2\x80\xa6 https://t.co/kajrto3wk1'"
970,b'@j_poppet was it balance transfer letters by any chance?- dan'
971,"b""@duffy_mrss hey susie, i'm sorry about this do you have an active complaint already or are you just wanting to spea\xe2\x80\xa6 https://t.co/m7laeeq4vv"""
972,"b'.@lanadelrey will be at @rw_birmingham on saturday 29 february 2020 \xf0\x9f\x8e\xb5 \xf0\x9f\x99\x8c to be there too, head this way for tickets\xe2\x80\xa6 https://t.co/pjwpsamykv'"
973,"b'@vampyra911 hey caroline, i quite agree the best thing that i would do would be to call our digital team to get the\xe2\x80\xa6 https://t.co/9ymbh41nx0'"
974,"b""@shadiaraja hi there, apologies this is happening. if you call up our digital team on 0800 161 5300 they'll be able\xe2\x80\xa6 https://t.co/hmmxy3lbvo"""
975,"b""@nicolajshaw got your dm and i'm replying now :-) - dan"""
976,"b""@nicolajshaw hi nicola, can you dm me please so i an get more information of what you're after? thanks. - dan"""
977,"b""@tmckinnin it's pretty rainy here today :( i'll be working all day, so i guess my plans are to be sending tweets! i\xe2\x80\xa6 https://t.co/typigazuro"""
978,"b""@tmckinnin morning tim, i'm fabulous because it's nearly friday! how are you? nic"""
979,b'@ktmgordo i know it sounds like it would be a mistake it is what the system does every time you agree to the terms\xe2\x80\xa6 https://t.co/hsxzvn7wpy'
980,"b""@ktmgordo hello gordon, that's definitely excessive and we know sending all of this can look like unusual but every\xe2\x80\xa6 https://t.co/tdaoarjmdx"""
981,"b'@edent thanks terence, we have highlighted any issues with our app to the digital team and they are been worked on.\xe2\x80\xa6 https://t.co/mflnx5jbt9'"
982,"b'@edent hi terence, at the moment there are no plans to support google play. thanks, dean.'"
983,"b'@afcb0271 hey andrew, sorry about this. can you dm me a copy of the text please? thanks, dean. https://t.co/mpqb4etryv'"
984,"b'@rayflaherty i certainly understand your frustration ray, we certainly need to get to the bottom of this. the error\xe2\x80\xa6 https://t.co/gfymfxupj0'"
985,"b""@ciarandouglas_ hi ciaran, i've got it now so i'll pick up with you in dm. jord"""
986,"b'@roguecylon @bankofengland @thefca hi there, please can you send me a dm with a little more information about your\xe2\x80\xa6 https://t.co/lptweftyfl'"
987,"b""@holly_langford you're welcome :) let me now if you need a hand with anything else in the future, we're around 24/7! nic"""
988,b'simon cowell is shocked by our repayment calculator because it helps you pay us less in interest. seriously \xf0\x9f\x98\x80. t&amp;cs\xe2\x80\xa6 https://t.co/rvqwoy3hil'
989,"b""@jevonprice_ okay jevon, you'll need to contact our us team @askbarclaysus monday to friday 9am-5pm est. thanks, dean."""
990,"b'@jevonprice_ hey jevon, are you a us or uk customer? dean.'"
991,b'@samfrank1988 the error code in the app looks like a registration issue. did you change your device recently and tr\xe2\x80\xa6 https://t.co/a1g4ryxog4'
992,"b'@proof_fairy hi alison, can you dm me with more details so i can provide the correct details. thanks, dean. https://t.co/mpqb4etryv'"
993,"b""@rayflaherty okay, i'd recommend caling our digital team if the issue is still occurring. their number is 0800 161\xe2\x80\xa6 https://t.co/2plhlvsz15"""
994,"b'@samfrank1988 apologies samantha, what errors are you seeing with the app? although it is necessary that we need yo\xe2\x80\xa6 https://t.co/x1gm5imhve'"
995,"b""@fossilphilip if you'd like us to just stop marketing, but keep your information on our records, then pop through t\xe2\x80\xa6 https://t.co/cig6fpjpi3"""
996,"b'@imy_smithh our marketing campaigns are prepared 8 weeks in advance, so you coming in to branch and receiving somet\xe2\x80\xa6 https://t.co/we2ac2mkem'"
997,"b'@imy_smithh you can submit a subject access request to try and find this out imy, using this link:\xe2\x80\xa6 https://t.co/yctlw8yc5f'"
998,"b""@neilsargent86 hi neil. i'm sorry you're receiving unwanted mail. you can request that this stops on this page:\xe2\x80\xa6 https://t.co/hogy7cbowl"""
999,"b""@rayflaherty i've checked and this looks like a temporary issue, the advice is to try again later. how long have yo\xe2\x80\xa6 https://t.co/z28dcqyx1e"""
1000,"b""@fossilphilip hi philip. sorry you're receiving unwanted mail. you can change your marketing preferences here:\xe2\x80\xa6 https://t.co/4ged3mzvsq"""
1001,"b""@vaughanleanne hi leanne. i'm really sorry for the wait, that does sound unusually long. did you manage to speak wi\xe2\x80\xa6 https://t.co/es1jpmtgnr"""
1002,"b""@imy_smithh hi imy. that's strange. it may be that we hold your details for marketing and you visiting is just a sc\xe2\x80\xa6 https://t.co/rhqu1dv2pj"""
1003,b'@watson1990uk hi luke. yes we do. if you can send this to internetsecurity@barclays.com. nicola'
1004,b'@holly_langford hi holly. that is a representative limit. all limits are agreed based on application. nicola'
1005,"b""@kerryachapman i'm sorry for the wait, kerry. no issues as such, but i think you must have been catching us at busy\xe2\x80\xa6 https://t.co/ynaqzf56ad"""
1006,b'@greg_79 the interest rate that you have sent is a representative interest rate and could be lower however we do ha\xe2\x80\xa6 https://t.co/opjeny7cyz'
1007,"b'@fb___123 i am sorry for the long wait today, have you been able to speak with the team? jay'"
1008,"b'@kerryachapman sorry for the long wait there kerry, were you able to get everything you needed today? jay'"
1009,b'@dansheffield i will say with the shear volumes it is taking us longer than normal however getting this sorted for\xe2\x80\xa6 https://t.co/dysl0vuova'
1010,"b""@jas88 hi james, we're usually really careful but it looks like someones fed one after midnight! what steps did you\xe2\x80\xa6 https://t.co/yqbeic8bjh"""
1011,"b""@dansheffield hi there daniel, i am sorry to hear you've faced issues with your claim and i appreciate re-submittin\xe2\x80\xa6 https://t.co/nnufakocbw"""
1012,"b""@tonywills3 hello tony, this isn't what i like to see. did you get sorted? if not, can you let me know what's happe\xe2\x80\xa6 https://t.co/kprj7na0vi"""
1013,"b'@memyself_n_boo apologies about that, ria. if you need to call us so we can check why we needed to speak to you, yo\xe2\x80\xa6 https://t.co/e7oaljqcgj'"
1014,"b'for more updates, visit: https://t.co/hcpfukoice https://t.co/zjoncntley'"
1015,"b""@deensdena hi there, can you please drop me a dm and i'll get this sorted for you. thanks. - dan"""
1016,"b'@memyself_n_boo hey ria, just to put your mind at rest that number is genuine. if you are ever unsure you can use t\xe2\x80\xa6 https://t.co/on8rdtcosj'"
1017,"b'@philmccurley hi phil, thanks for your message. i can certainly help you with this, are you able to pop into dm? jo https://t.co/mpqb4etryv'"
1018,"b""@platypusjohn hi john, ah wow now isn't this just a great picture of banana. so cool :) jo"""
1019,"b""@grantstephensza hello grant, thanks for your message. i'd like to look to help you with this. are you able to pop\xe2\x80\xa6 https://t.co/s37aqgnzhk"""
1020,"b""@rayflaherty that's strange. which device and operating system are you using? kristos"""
1021,"b""@greg_79 sorry, i meant the barclaycard account. or were you looking to apply for the barclaycard and you weren't h\xe2\x80\xa6 https://t.co/3qholacd3p"""
1022,"b""@lisa_ainscough hi there, lisa. thanks for getting in touch, i hope you're well. you can find out more about this h\xe2\x80\xa6 https://t.co/rvtfdziu26"""
1023,"b""@dave_cott hi dave, i can see we're already talking via dm. i have replied to your latest message. steven"""
1024,"b'@markmpn hi there, mark. i can help get these stopped for you. firstly, do you bank with either with barclays or ba\xe2\x80\xa6 https://t.co/emiinxkoha'"
1025,"b""@chrisdickson22 can you please double check that you are logged in to the uk play store. i'm assuming you have a uk\xe2\x80\xa6 https://t.co/g0mv1xrdqp"""
1026,b'@amyrosebuckle could you please pop over to dm so i can help get these stopped for you? kristos https://t.co/mpqb4etryv'
1027,"b""@greg_79 hi there, greg. interest rates are calculated and offered at a rate that's dependent on several factors. h\xe2\x80\xa6 https://t.co/baspltuyfz"""
1028,"b'@wilksy76 hey robert, thanks for the screenshot, oh this does seem a lot. can you pop over to dm so that i can help\xe2\x80\xa6 https://t.co/pslo5xmyby'"
1029,"b""@mycallkenknee hi michael, sorry to hear you're receiving unwanted mail. you can amend your marketing preferences a\xe2\x80\xa6 https://t.co/8qtobohsbe"""
1030,"b'@swedenhd hey eden, thanks for popping through and i certainly give you a hand to get this stopped :) can you pop o\xe2\x80\xa6 https://t.co/jyw1i94c0r'"
1031,"b""@rayflaherty hey ray, i'm sorry to see you're having trouble, thanks for the screenshot :) have you tried closing a\xe2\x80\xa6 https://t.co/b8hbuybwa9"""
1032,"b""@amyrosebuckle hi amy, i get what you're saying. if you're not interested in receiving any marketing from us, i can\xe2\x80\xa6 https://t.co/fvjsqzomdt"""
1033,b'@vampyra911 ah no worries; thanks for letting us know :) cody'
1034,b'planning the perfect valentine\xe2\x80\x99s day? \xe2\x9d\xa4\xef\xb8\x8f @jamesblunt brings his #onceuponamind tour to @arenabirmingham on friday 1\xe2\x80\xa6 https://t.co/ebci03flrz'
1035,"b""@vampyra911 you're welcome; take care and have a lovely evening :) cody"""
1036,"b""@vampyra911 ah honestly don't worry about it, it's nothing to worry about! keep us updated :) cody"""
1037,"b""@vampyra911 hiya caroline, sorry about this! we're aware that this happens from time to time, but it's nothing to w\xe2\x80\xa6 https://t.co/9h7mcgzmil"""
1038,"b""@elxando hi xander, drop me a dm and i'll let you know how to get these mailings stopped. thanks, dean."""
1039,"b""@tdp0709 hey tom, thanks for popping through and i'll give you a hand to get this stopped. can you pop over to dm p\xe2\x80\xa6 https://t.co/o96ev7nbq5"""
1040,"b'@setsrepsgreens hi mark, if you drop me a dm i can let you know how to get this stopped. thanks, dean.'"
1041,"b""@todd_j_cooper hey todd, dm me and i'll let you know how to get them stopped. thanks, dean. https://t.co/mpqb4etryv"""
1042,"b""@drdindin1 yep, so this means you've met your payment dinesh. thanks, dean."""
1043,"b'@drdindin1 does it show how much is due in your app, is it 0? thanks, dean.'"
1044,"b'@drdindin1 when did you make this payment? thanks, dean.'"
1045,"b'@tammy65201662 hi tammy, drop me a dm and i can let you know how to get these stopped. dean.'"
1046,"b'@zleader12 hey zack, thanks for getting in touch and i can certainly help you put a stop to this. can you pop over\xe2\x80\xa6 https://t.co/snjex3wujq'"
1047,"b'@jasnalder hi jason, if you drop me a dm i can let you know how to get these letters stopped. thanks, dean. https://t.co/mpqb4etryv'"
1048,"b""@christowler96 yes mate, i'm sure i can get by! i'll get myself to the beauty parlour to see if i can compete thoug\xe2\x80\xa6 https://t.co/cu1rjd1fte"""
1049,"b""@arrwoo dm me your postcode and phone number and i'll see if i can help with that rachel. thanks, dean. https://t.co/mpqb4etryv"""
1050,"b""@arrwoo it should clear the account and then you can use it again, in this case it appears there's been a fault so\xe2\x80\xa6 https://t.co/ncl9fuu75w"""
1051,"b'@arrwoo apologies rachel, the team will attempt to get your card back up and running within 5 - 10 minutes so apolo\xe2\x80\xa6 https://t.co/hfipzpq4lc'"
1052,"b'@drchrisoleary apologies, is this for your commercial credit card chris? thanks, dean.'"
1053,"b'@drchrisoleary sorry about this chris, can i help you with anything? dean.'"
1054,b'@christowler96 there was me think i was chris \xf0\x9f\x91\x80 dean.'
1055,"b""@poisonedfrodo hi alexander, i'm not 100% sure why we don't have it but we have passed this feedback to our app dev\xe2\x80\xa6 https://t.co/9crzleq8c0"""
1056,"b""@amy_ko45 hi amy, i'd like to try and help you out with this. did you send this as tracked delivery? feel free to r\xe2\x80\xa6 https://t.co/kxowow4n2j"""
1057,"b'@juljooo hey, this looks like you need to reach out to my colleagues at barclaycard germany. you can reach them at:\xe2\x80\xa6 https://t.co/88v5hnm8xv'"
1058,b'@chrisdickson22 are you using apple or android? nicola l'
1059,b'@chrisdickson22 hi chris. what country are you in? nicola l'
1060,"b""@mikey130886 thanks for bringing this to our attention mikey! i've had this raised straight away, thanks again! brogan"""
1061,"b'@superseveriano hey sev, thanks for bringing this to our attention. please report this profile here; https://t.co/v6pvunwhvg corrina'"
1062,b'@tomhext hi tom. sorry about this. how long has this message been showing for? nicola l'
1063,"b""@laura_sprague hi laura. our friends over @askbarclaysus can help you further. they're available monday to friday 9am-5pm est. nicola l"""
1064,"b""@mk2_tom hi tom. awww thanks for that :) we're glad to hear you're a happy customer. nicola"""
1065,b'@tariqfilms thanks. please call our digital helpdesk on 0345 600 2323 (24/7) and one of my colleagues will assist you further. leanne'
1066,"b'@tariqfilms do you bank with barclays taz? thanks, dean.'"
1067,"b""@990wr thanks, we'll take a look now. dean."""
1068,"b""@ojobson i'll get it passed on oliver don't worry. appreciate you flagging this. dean."""
1069,"b'@ojobson ah no oliver! seems like this might be a bit of an overkill with the copies, sorry about that! have you re\xe2\x80\xa6 https://t.co/nbhqdxvxh9'"
1070,"b""@990wr hi there! i hope you're well today. we don't have a specific email address for queries but i'd like to find\xe2\x80\xa6 https://t.co/rzy7fzn2wg"""
1071,"b""@cryptcrx hopefully! if i have any updates i'll let you know. thanks, dean."""
1072,"b""@cryptcrx thanks, android 10 is fine with our app but as the pixel is fairly new this could be why it's not showing\xe2\x80\xa6 https://t.co/rmgxxs3lpe"""
1073,"b""@grhydian that's very odd, are you able to dm me a photo of the letter please? dean. https://t.co/mpqb4etryv"""
1074,b'@cryptcrx what version of android do you have? dean.'
1075,"b'@stevi_angove are you able to dm a copy of the email please? thanks, dean. https://t.co/mpqb4etryv'"
1076,"b'@stevi_angove you probably received a 3 month purchase offer on the account to stevi, have you made any purchases? thanks, dean.'"
1077,b'@mikey130886 hi mikey. it works out the monthly payments if you were to pay the minimum payment each month and how\xe2\x80\xa6 https://t.co/0rxj8wq076'
1078,"b'@cryptcrx hi bukola. can i just check, our app is not showing up in the app store for you to download? is that right? andy.'"
1079,b'@reetudeetu hi there. we do aim to get in touch within 48 hours but it can take longer. have you had any contact at\xe2\x80\xa6 https://t.co/tzscv3j33j'
1080,b'@hhotelconsult @paypal hi there. i am sorry you were on hold so long. did you manage to get through to someone? andy.'
1081,b'@gulam_h thanks gulam. could you drop us a dm please? just so i can use the extra characters to try and help. andy.'
1082,"b'@gulam_h hi gulam. when the code is rejected, are you getting an error number or code with that please? i\xe2\x80\x99ll be abl\xe2\x80\xa6 https://t.co/vqghc7efbm'"
1083,b'@robertwhitlow if the issue continues you may need a new card sending. keep us updated. thanks nicola'
1084,b'@hectorbeegabaw i most certainly will randle. thanks nicola'
1085,"b""@hectorbeegabaw that's the one you'd get if you go to our main site and click on the log in button randle.\xe2\x80\xa6 https://t.co/pxyeavnsdo"""
1086,b'@hectorbeegabaw try this link and let me know how that goes? https://t.co/crdxboqogq thanks nicola'
1087,b'@kristyannexx hello there; thank you for reaching out and i will give you a hand with this. how long ago did you make the payment? ramona'
1088,b'@rachelbrophy84 hi rachel. the adverts will likely be in relation to new accounts. we regularly review existing cus\xe2\x80\xa6 https://t.co/sugzbzktrg'
1089,"b'@robertwhitlow hey robert, no problems our end. maybe worth trying again and if it declines we may need to look at\xe2\x80\xa6 https://t.co/wzv6twqbg1'"
1090,"b'@cat24max can i help you at all tim? thanks, dean.'"
1091,"b'@riannahmcc apologies riri, can you dm me on this channel with your postcode and phone number so i can take a look\xe2\x80\xa6 https://t.co/wadiovdahb'"
1092,b'@mrs_mac99 well as they are the technical experts on this jay in essence they are the only guys who can help. plus\xe2\x80\xa6 https://t.co/k5ensup8fs'
1093,"b""@mrs_mac99 hi jay, i'm sorry this still isn't fixed for you. if you'd like me to ask the team to contact you direct\xe2\x80\xa6 https://t.co/oceaq8uygp"""
1094,"b""@girlie4 because we all 'knead' it. #boomboom #i'llgrabmycoat thanks nicola"""
1095,"b""@girlie4 what can i say qwazy! i've got one for you. why is money called dough?\nthanks nicola"""
1096,"b""@superseveriano @flyingbrussels i'll look out for it sev. not had anything through yet. thanks nicola"""
1097,"b'@superseveriano hi sev, glad we managed to spot this and stop it :) andy.'"
1098,b'@krawczyk_karen if this happens when you next call can you make the advisor aware so this can be raised straight aw\xe2\x80\xa6 https://t.co/jlxientoph'
1099,"b""@krawczyk_karen ah, ok. we don't usually have issues with background noise as we have special headsets with noise c\xe2\x80\xa6 https://t.co/f8sl2l3s4u"""
1100,"b'@thepaulmasters i appricate your frustration here, we are working on this and are looking to get that sorted as quick as we can. leigh'"
1101,"b""@krawczyk_karen hi karen, sorry about the call quality, do you know what the call was about? do you know if we've g\xe2\x80\xa6 https://t.co/8gk1upzqs0"""
1102,"b'@neily82 hi neil, thanks very much for letting us know. if possible, would you be able to call the customer service\xe2\x80\xa6 https://t.co/haermrljh1'"
1103,"b""@connnie95 i can certainly try connie, what's the question?  feel free to dm if it's easier. thanks, cass https://t.co/mpqb4etryv"""
1104,"b""@tameratik hi tamer, would you like to dm me details of why you were calling today and i'll see if it's anything i\xe2\x80\xa6 https://t.co/99szsaeoru"""
1105,"b""@champgains @americanair hi there, sorry to hear this. you'll need to reach out to our colleagues in the us about t\xe2\x80\xa6 https://t.co/erz8a2tb6p"""
1106,"b""@baylonious hey ant, your best option is to call our customer services team on: 0800 151 0900 and they'll be able t\xe2\x80\xa6 https://t.co/qht58qhaoz"""
